"Date","Price","Open","High","Low","Change %"
"Mar 17, 2020","2.473","2.473","2.473","2.473","2.02%"
"Mar 16, 2020","2.424","2.439","2.439","2.424","-0.62%"
"Mar 13, 2020","2.439","2.413","2.439","2.413","1.04%"
"Mar 12, 2020","2.414","2.301","2.414","2.301","4.87%"
"Mar 11, 2020","2.302","2.338","2.338","2.302","-1.54%"
"Mar 10, 2020","2.338","2.234","2.338","2.234","4.61%"
"Mar 09, 2020","2.235","2.340","2.340","2.235","-4.49%"
"Mar 06, 2020","2.340","2.462","2.462","2.340","-4.99%"
"Mar 05, 2020","2.463","2.555","2.555","2.463","-3.64%"
"Mar 04, 2020","2.556","2.753","2.753","2.556","-7.19%"
"Mar 03, 2020","2.754","2.806","2.806","2.754","-1.85%"
"Mar 02, 2020","2.806","2.900","2.900","2.806","-1.75%"
"Feb 28, 2020","2.856","2.895","2.895","2.856","-1.42%"
"Feb 27, 2020","2.897","2.864","2.897","2.864","1.15%"
"Feb 26, 2020","2.864","2.879","2.879","2.864","-0.56%"
"Feb 25, 2020","2.880","2.955","2.955","2.880","-2.57%"
"Feb 24, 2020","2.956","2.876","2.956","2.876","2.75%"
"Feb 21, 2020","2.877","2.838","2.877","2.838","1.34%"
"Feb 20, 2020","2.839","2.850","2.850","2.839","-0.39%"
"Feb 19, 2020","2.850","2.835","2.850","2.835","0.53%"
"Feb 18, 2020","2.835","2.822","2.835","2.822","0.43%"
"Feb 17, 2020","2.823","2.974","2.974","2.823","-5.11%"
"Feb 14, 2020","2.975","3.088","3.088","2.975","-3.72%"
"Feb 13, 2020","3.090","3.027","3.090","3.027","2.08%"
"Feb 12, 2020","3.027","3.071","3.071","3.027","-1.46%"
"Feb 11, 2020","3.072","3.075","3.075","3.072","-0.10%"
"Feb 10, 2020","3.075","3.045","3.075","3.045","0.95%"
"Feb 07, 2020","3.046","3.012","3.046","3.012","1.10%"
"Feb 06, 2020","3.013","3.067","3.067","3.013","-1.79%"
"Feb 05, 2020","3.068","3.128","3.128","3.068","-1.92%"
"Feb 04, 2020","3.128","3.328","3.328","3.128","-6.01%"
"Feb 03, 2020","3.328","3.156","3.328","3.156","5.42%"
"Jan 31, 2020","3.157","3.143","3.157","3.143","0.41%"
"Jan 30, 2020","3.144","3.106","3.144","3.106","2.88%"
"Jan 29, 2020","3.056","3.056","3.056","3.056","0.00%"
"Jan 27, 2020","3.056","3.056","3.056","3.056","0.00%"
"Jan 24, 2020","3.056","3.056","3.056","3.056","0.00%"
"Jan 23, 2020","3.056","3.056","3.056","3.056","-1.77%"
"Jan 22, 2020","3.111","3.072","3.111","3.072","1.27%"
"Jan 21, 2020","3.072","2.944","3.072","2.944","4.35%"
"Jan 20, 2020","2.944","2.845","2.944","2.845","3.44%"
"Jan 17, 2020","2.846","2.875","2.875","2.846","-1.04%"
"Jan 16, 2020","2.876","2.922","2.922","2.876","-1.61%"
"Jan 15, 2020","2.923","3.034","3.034","2.923","-3.69%"
"Jan 14, 2020","3.035","3.068","3.068","3.035","-1.08%"
"Jan 13, 2020","3.068","3.074","3.074","3.068","-0.23%"
"Jan 10, 2020","3.075","3.076","3.076","3.075","-0.10%"
"Jan 09, 2020","3.078","3.115","3.115","3.078","-1.19%"
"Jan 08, 2020","3.115","3.168","3.168","3.115","-1.70%"
"Jan 07, 2020","3.169","3.212","3.212","3.169","-1.34%"
"Jan 06, 2020","3.212","3.375","3.375","3.212","-4.83%"
"Jan 03, 2020","3.375","3.415","3.415","3.375","-1.23%"
"Jan 02, 2020","3.417","3.377","3.417","3.377","2.67%"
"Jan 01, 2020","3.328","3.328","3.328","3.328","-1.48%"
"Dec 31, 2019","3.378","3.384","3.384","3.378","-0.24%"
"Dec 30, 2019","3.386","3.369","3.386","3.369","0.47%"
"Dec 27, 2019","3.370","3.373","3.373","3.370","-0.15%"
"Dec 26, 2019","3.375","3.421","3.421","3.375","-1.37%"
"Dec 25, 2019","3.422","3.455","3.455","3.422","-0.98%"
"Dec 24, 2019","3.456","3.483","3.483","3.456","-0.80%"
"Dec 23, 2019","3.484","3.489","3.489","3.484","-0.14%"
"Dec 20, 2019","3.489","3.491","3.491","3.489","-0.09%"
"Dec 19, 2019","3.492","3.507","3.507","3.492","-0.46%"
"Dec 18, 2019","3.508","3.502","3.508","3.502","0.17%"
"Dec 17, 2019","3.502","3.510","3.510","3.502","-0.23%"
"Dec 16, 2019","3.510","3.506","3.510","3.506","0.11%"
"Dec 13, 2019","3.506","3.519","3.519","3.506","-0.40%"
"Dec 12, 2019","3.520","3.513","3.520","3.513","0.20%"
"Dec 11, 2019","3.513","3.515","3.515","3.513","-0.06%"
"Dec 10, 2019","3.515","3.514","3.521","3.514","0.03%"
"Dec 09, 2019","3.514","3.502","3.514","3.502","0.31%"
"Dec 06, 2019","3.503","3.515","3.515","3.503","-0.37%"
"Dec 05, 2019","3.516","3.542","3.542","3.516","-0.73%"
"Dec 04, 2019","3.542","3.542","3.542","3.542","-0.03%"
"Dec 03, 2019","3.543","3.545","3.545","3.543","-0.06%"
"Dec 02, 2019","3.545","3.568","3.568","3.545","-0.64%"
"Nov 29, 2019","3.568","3.538","3.585","3.538","0.82%"
"Nov 28, 2019","3.539","3.542","3.542","3.539","-0.11%"
"Nov 27, 2019","3.543","3.707","3.707","3.543","-4.42%"
"Nov 26, 2019","3.707","3.679","3.707","3.679","0.76%"
"Nov 25, 2019","3.679","3.683","3.683","3.679","-0.11%"
"Nov 22, 2019","3.683","3.691","3.691","3.683","-0.24%"
"Nov 21, 2019","3.692","3.681","3.692","3.681","0.30%"
"Nov 20, 2019","3.681","3.634","3.681","3.634","1.29%"
"Nov 19, 2019","3.634","3.663","3.663","3.634","-0.82%"
"Nov 18, 2019","3.664","3.711","3.711","3.654","-1.29%"
"Nov 15, 2019","3.712","3.698","3.712","3.682","0.35%"
"Nov 14, 2019","3.699","3.780","3.780","3.699","-2.14%"
"Nov 13, 2019","3.780","3.756","3.780","3.756","0.61%"
"Nov 12, 2019","3.757","3.739","3.757","3.739","0.45%"
"Nov 11, 2019","3.740","3.728","3.740","3.728","0.32%"
"Nov 08, 2019","3.728","3.722","3.728","3.718","0.13%"
"Nov 07, 2019","3.723","3.744","3.744","3.723","-0.59%"
"Nov 06, 2019","3.745","3.755","3.755","3.745","-0.29%"
"Nov 05, 2019","3.756","3.737","3.756","3.737","0.51%"
"Nov 04, 2019","3.737","3.659","3.737","3.659","2.13%"
"Nov 01, 2019","3.659","3.681","3.681","3.659","0.27%"
"Oct 31, 2019","3.649","3.633","3.649","3.633","0.44%"
"Oct 30, 2019","3.633","3.637","3.637","3.633","-0.11%"
"Oct 29, 2019","3.637","3.731","3.731","3.637","-2.52%"
"Oct 28, 2019","3.731","3.687","3.731","3.687","1.17%"
"Oct 25, 2019","3.688","3.586","3.788","3.586","2.82%"
"Oct 24, 2019","3.587","3.546","3.587","3.546","1.13%"
"Oct 23, 2019","3.547","3.606","3.606","3.547","-1.64%"
"Oct 22, 2019","3.606","3.647","3.647","3.606","-1.15%"
"Oct 21, 2019","3.648","3.682","3.682","3.648","-0.95%"
"Oct 18, 2019","3.683","3.745","3.745","3.683","-1.68%"
"Oct 17, 2019","3.746","3.837","3.837","3.746","-2.40%"
"Oct 16, 2019","3.838","3.879","3.879","3.838","-1.06%"
"Oct 15, 2019","3.879","3.901","3.901","3.879","-0.59%"
"Oct 14, 2019","3.902","3.919","3.919","3.902","-0.43%"
"Oct 11, 2019","3.919","3.927","3.927","3.919","-0.20%"
"Oct 10, 2019","3.927","3.960","3.960","3.927","-0.83%"
"Oct 09, 2019","3.960","3.975","3.975","3.960","-0.40%"
"Oct 08, 2019","3.976","3.993","3.993","3.976","-0.43%"
"Oct 07, 2019","3.993","3.998","3.998","3.993","-0.15%"
"Oct 04, 2019","3.999","4.016","4.016","3.999","-0.42%"
"Oct 03, 2019","4.016","4.000","4.016","4.000","0.40%"
"Oct 02, 2019","4.000","4.025","4.025","4.000","-0.65%"
"Oct 01, 2019","4.026","4.057","4.057","4.026","-0.76%"
"Sep 30, 2019","4.057","4.049","4.057","4.049","0.17%"
"Sep 27, 2019","4.050","4.030","4.050","4.030","0.50%"
"Sep 26, 2019","4.030","4.009","4.030","4.009","0.50%"
"Sep 25, 2019","4.010","4.002","4.010","4.002","0.17%"
"Sep 24, 2019","4.003","4.043","4.043","4.003","-0.99%"
"Sep 23, 2019","4.043","4.006","4.043","4.006","0.90%"
"Sep 20, 2019","4.007","4.040","4.040","4.007","-0.84%"
"Sep 19, 2019","4.041","4.012","4.041","4.012","0.70%"
"Sep 18, 2019","4.013","4.049","4.049","4.013","-0.89%"
"Sep 17, 2019","4.049","4.006","4.049","4.006","1.07%"
"Sep 16, 2019","4.006","3.984","4.006","3.984","0.55%"
"Sep 13, 2019","3.984","4.053","4.053","3.984","-1.73%"
"Sep 12, 2019","4.054","4.120","4.120","4.054","-1.60%"
"Sep 11, 2019","4.120","4.110","4.120","4.110","0.24%"
"Sep 10, 2019","4.110","4.074","4.110","4.074","0.86%"
"Sep 09, 2019","4.075","4.078","4.078","4.075","-0.10%"
"Sep 06, 2019","4.079","4.086","4.086","4.079","-0.20%"
"Sep 05, 2019","4.087","4.139","4.139","4.087","-1.26%"
"Sep 04, 2019","4.139","4.172","4.172","4.139","-0.79%"
"Sep 03, 2019","4.172","4.162","4.172","4.162","0.24%"
"Sep 02, 2019","4.162","4.162","4.162","4.162","0.00%"
"Aug 30, 2019","4.162","4.208","4.208","4.162","-1.12%"
"Aug 29, 2019","4.209","4.217","4.217","4.209","-0.19%"
"Aug 28, 2019","4.217","4.241","4.241","4.217","-0.57%"
"Aug 27, 2019","4.241","4.240","4.241","4.240","0.02%"
"Aug 26, 2019","4.240","4.202","4.240","4.202","0.90%"
"Aug 23, 2019","4.202","4.260","4.260","4.202","-1.38%"
"Aug 22, 2019","4.261","4.319","4.319","4.261","-1.34%"
"Aug 21, 2019","4.319","4.331","4.331","4.319","-0.30%"
"Aug 20, 2019","4.332","4.323","4.332","4.323","0.21%"
"Aug 19, 2019","4.323","4.283","4.323","4.283","1.48%"
"Aug 16, 2019","4.260","4.267","4.267","4.230","-0.19%"
"Aug 15, 2019","4.268","4.411","4.411","4.268","-3.24%"
"Aug 14, 2019","4.411","4.445","4.445","4.411","-0.79%"
"Aug 13, 2019","4.446","4.455","4.455","4.446","-0.20%"
"Aug 12, 2019","4.455","4.455","4.455","4.455","0.11%"
"Aug 09, 2019","4.450","4.468","4.468","4.450","-0.43%"
"Aug 08, 2019","4.469","4.459","4.469","4.459","0.20%"
"Aug 07, 2019","4.460","4.463","4.463","4.460","-0.09%"
"Aug 06, 2019","4.464","4.454","4.464","4.454","0.22%"
"Aug 05, 2019","4.454","4.448","4.454","4.448","0.11%"
"Aug 02, 2019","4.449","4.477","4.477","4.449","-0.65%"
"Aug 01, 2019","4.478","4.456","4.478","4.456","1.68%"
"Jul 31, 2019","4.404","4.444","4.444","4.404","-0.90%"
"Jul 30, 2019","4.444","4.447","4.447","4.444","-0.07%"
"Jul 29, 2019","4.447","4.446","4.447","4.446","0.02%"
"Jul 26, 2019","4.446","4.436","4.446","4.436","0.18%"
"Jul 25, 2019","4.438","4.464","4.464","4.438","-0.60%"
"Jul 24, 2019","4.465","4.468","4.468","4.465","-0.09%"
"Jul 23, 2019","4.469","4.452","4.469","4.452","0.38%"
"Jul 22, 2019","4.452","4.488","4.488","4.452","-0.80%"
"Jul 19, 2019","4.488","4.522","4.522","4.488","-0.77%"
"Jul 18, 2019","4.523","4.519","4.523","4.519","0.07%"
"Jul 17, 2019","4.520","4.533","4.533","4.520","-0.31%"
"Jul 16, 2019","4.534","4.538","4.538","4.534","-0.11%"
"Jul 15, 2019","4.539","4.555","4.555","4.539","-0.37%"
"Jul 12, 2019","4.556","4.540","4.556","4.540","0.33%"
"Jul 11, 2019","4.541","4.594","4.594","4.541","-1.18%"
"Jul 10, 2019","4.595","4.612","4.612","4.595","-0.39%"
"Jul 09, 2019","4.613","4.613","4.613","4.613","0.00%"
"Jul 08, 2019","4.613","4.613","4.613","4.613","0.00%"
"Jul 05, 2019","4.613","4.626","4.626","4.613","-0.32%"
"Jul 04, 2019","4.628","4.652","4.652","4.628","-0.52%"
"Jul 03, 2019","4.652","4.650","4.652","4.650","0.04%"
"Jul 02, 2019","4.650","4.668","4.668","4.650","-0.39%"
"Jul 01, 2019","4.668","4.654","4.668","4.654","0.30%"
"Jun 28, 2019","4.654","4.657","4.657","4.654","-0.11%"
"Jun 27, 2019","4.659","4.671","4.671","4.659","-0.26%"
"Jun 26, 2019","4.671","4.652","4.671","4.652","0.39%"
"Jun 25, 2019","4.653","4.655","4.655","4.653","-0.04%"
"Jun 24, 2019","4.655","4.657","4.657","4.655","-0.04%"
"Jun 21, 2019","4.657","4.659","4.659","4.657","-0.06%"
"Jun 20, 2019","4.660","4.668","4.668","4.660","-0.17%"
"Jun 19, 2019","4.668","4.659","4.668","4.659","0.19%"
"Jun 18, 2019","4.659","4.659","4.659","4.659","-0.02%"
"Jun 17, 2019","4.660","4.672","4.672","4.660","-0.26%"
"Jun 14, 2019","4.672","4.678","4.678","4.672","-0.15%"
"Jun 13, 2019","4.679","4.672","4.679","4.672","0.15%"
"Jun 12, 2019","4.672","4.669","4.672","4.669","0.06%"
"Jun 11, 2019","4.669","4.678","4.678","4.669","-0.19%"
"Jun 10, 2019","4.678","4.659","4.678","4.659","0.41%"
"Jun 07, 2019","4.659","4.674","4.674","4.659","-0.36%"
"Jun 06, 2019","4.676","4.692","4.692","4.676","-0.36%"
"Jun 05, 2019","4.693","4.693","4.693","4.693","-0.02%"
"Jun 04, 2019","4.694","4.682","4.694","4.682","0.26%"
"Jun 03, 2019","4.682","4.701","4.701","4.682","-0.40%"
"May 31, 2019","4.701","4.707","4.707","4.701","-0.15%"
"May 30, 2019","4.708","4.713","4.713","4.708","-0.13%"
"May 29, 2019","4.714","4.721","4.721","4.714","-0.17%"
"May 28, 2019","4.722","4.727","4.727","4.722","-0.11%"
"May 27, 2019","4.727","4.729","4.729","4.727","-0.04%"
"May 24, 2019","4.729","4.734","4.734","4.729","-0.13%"
"May 23, 2019","4.735","4.738","4.738","4.735","-0.06%"
"May 22, 2019","4.738","4.736","4.738","4.736","0.02%"
"May 21, 2019","4.737","4.743","4.743","4.737","-0.13%"
"May 20, 2019","4.743","4.743","4.743","4.743","0.00%"
"May 17, 2019","4.743","4.739","4.743","4.739","0.04%"
"May 16, 2019","4.741","4.751","4.751","4.741","-0.23%"
"May 15, 2019","4.752","4.757","4.757","4.752","-0.11%"
"May 14, 2019","4.757","4.761","4.761","4.757","-0.08%"
"May 13, 2019","4.761","4.770","4.770","4.761","-0.19%"
"May 10, 2019","4.770","4.772","4.772","4.770","-0.06%"
"May 09, 2019","4.773","4.773","4.773","4.773","0.00%"
"May 08, 2019","4.773","4.774","4.774","4.773","-0.06%"
"May 07, 2019","4.776","4.776","4.776","4.776","0.00%"
"May 06, 2019","4.776","4.754","4.776","4.754","0.46%"
"May 03, 2019","4.754","4.759","4.759","4.754","-0.15%"
"May 02, 2019","4.761","4.763","4.763","4.761","-0.06%"
"May 01, 2019","4.764","4.764","4.764","4.764","0.00%"
"Apr 30, 2019","4.764","4.764","4.764","4.764","0.00%"
"Apr 29, 2019","4.764","4.764","4.764","4.764","0.00%"
"Apr 26, 2019","4.764","4.756","4.764","4.756","0.11%"
"Apr 25, 2019","4.759","4.764","4.764","4.759","-0.10%"
"Apr 24, 2019","4.764","4.760","4.764","4.760","0.08%"
"Apr 23, 2019","4.760","4.753","4.760","4.753","0.13%"
"Apr 22, 2019","4.754","4.774","4.774","4.754","-0.42%"
"Apr 19, 2019","4.774","4.779","4.779","4.774","-0.13%"
"Apr 18, 2019","4.780","4.789","4.789","4.780","-0.21%"
"Apr 17, 2019","4.790","4.786","4.790","4.786","0.06%"
"Apr 16, 2019","4.787","4.795","4.795","4.787","-0.19%"
"Apr 15, 2019","4.796","4.796","4.796","4.796","0.00%"
"Apr 12, 2019","4.796","4.804","4.804","4.796","-0.21%"
"Apr 11, 2019","4.806","4.814","4.814","4.806","-0.19%"
"Apr 10, 2019","4.815","4.810","4.815","4.810","0.06%"
"Apr 09, 2019","4.812","4.812","4.812","4.812","-0.02%"
"Apr 08, 2019","4.813","4.813","4.813","4.813","0.00%"
"Apr 05, 2019","4.813","4.811","4.813","4.811","0.00%"
"Apr 04, 2019","4.813","4.825","4.825","4.813","-0.25%"
"Apr 03, 2019","4.825","4.806","4.825","4.806","0.37%"
"Apr 02, 2019","4.807","4.802","4.807","4.802","0.08%"
"Apr 01, 2019","4.803","4.827","4.827","4.803","-0.52%"
"Mar 29, 2019","4.828","4.846","4.846","4.828","-0.41%"
"Mar 28, 2019","4.848","4.850","4.850","4.848","-0.06%"
"Mar 27, 2019","4.851","4.867","4.867","4.851","-0.35%"
"Mar 26, 2019","4.868","4.833","4.868","4.833","0.72%"
"Mar 25, 2019","4.833","4.833","4.833","4.833","-0.02%"
"Mar 22, 2019","4.834","4.834","4.834","4.834","-0.04%"
"Mar 21, 2019","4.836","4.812","4.836","4.812","0.50%"
"Mar 20, 2019","4.812","4.799","4.812","4.799","0.27%"
"Mar 19, 2019","4.799","4.797","4.799","4.797","0.02%"
"Mar 18, 2019","4.798","4.794","4.798","4.794","0.08%"
"Mar 15, 2019","4.794","4.788","4.794","4.788","0.08%"
"Mar 14, 2019","4.790","4.786","4.790","4.786","0.08%"
"Mar 13, 2019","4.786","4.791","4.791","4.786","-0.10%"
"Mar 12, 2019","4.791","4.795","4.795","4.791","-0.08%"
"Mar 11, 2019","4.795","4.782","4.795","4.782","0.25%"
"Mar 08, 2019","4.783","4.786","4.786","4.783","-0.06%"
"Mar 07, 2019","4.786","4.778","4.786","4.778","0.17%"
"Mar 06, 2019","4.778","4.767","4.778","4.767","0.21%"
"Mar 05, 2019","4.768","4.762","4.768","4.762","0.13%"
"Mar 04, 2019","4.762","4.762","4.762","4.762","0.00%"
"Mar 01, 2019","4.762","4.755","4.762","4.755","0.15%"
"Feb 28, 2019","4.755","4.760","4.760","4.755","-0.11%"
"Feb 27, 2019","4.760","4.769","4.769","4.760","-0.19%"
"Feb 26, 2019","4.769","4.762","4.769","4.762","0.15%"
"Feb 25, 2019","4.762","4.754","4.762","4.754","0.17%"
"Feb 22, 2019","4.754","4.711","4.754","4.711","0.91%"
"Feb 21, 2019","4.711","4.711","4.711","4.711","-0.02%"
"Feb 20, 2019","4.712","4.705","4.712","4.705","0.15%"
"Feb 19, 2019","4.705","4.702","4.705","4.702","0.06%"
"Feb 18, 2019","4.702","4.696","4.702","4.696","0.13%"
"Feb 15, 2019","4.696","4.748","4.748","4.696","-1.10%"
"Feb 14, 2019","4.748","4.782","4.782","4.748","-0.71%"
"Feb 13, 2019","4.782","4.804","4.804","4.782","-0.48%"
"Feb 12, 2019","4.805","4.834","4.834","4.805","-0.60%"
"Feb 11, 2019","4.834","4.868","4.868","4.834","-0.70%"
"Feb 08, 2019","4.868","4.868","4.868","4.868","0.00%"
"Feb 07, 2019","4.868","4.868","4.868","4.868","0.00%"
"Feb 06, 2019","4.868","4.868","4.868","4.868","0.00%"
"Feb 05, 2019","4.868","4.868","4.868","4.868","0.00%"
"Feb 04, 2019","4.868","4.868","4.868","4.868","0.00%"
"Feb 01, 2019","4.868","4.879","4.879","4.868","-0.27%"
"Jan 31, 2019","4.881","4.900","4.900","4.881","-0.39%"
"Jan 30, 2019","4.900","4.895","4.900","4.895","0.10%"
"Jan 29, 2019","4.895","4.900","4.900","4.895","-0.10%"
"Jan 28, 2019","4.900","4.901","4.901","4.900","-0.04%"
"Jan 25, 2019","4.902","4.908","4.908","4.902","-0.12%"
"Jan 24, 2019","4.908","4.928","4.928","4.908","-0.43%"
"Jan 23, 2019","4.929","4.929","4.929","4.929","0.00%"
"Jan 22, 2019","4.929","4.940","4.940","4.929","-0.22%"
"Jan 21, 2019","4.940","4.943","4.943","4.940","-0.06%"
"Jan 18, 2019","4.943","4.932","4.943","4.932","0.20%"
"Jan 17, 2019","4.933","4.952","4.952","4.933","-0.38%"
"Jan 16, 2019","4.952","4.996","4.996","4.952","-0.88%"
"Jan 15, 2019","4.996","4.988","4.996","4.988","0.16%"
"Jan 14, 2019","4.988","5.000","5.000","4.988","-0.24%"
"Jan 11, 2019","5.000","5.021","5.021","5.000","-0.44%"
"Jan 10, 2019","5.022","5.114","5.114","5.022","-1.82%"
"Jan 09, 2019","5.115","5.046","5.115","5.046","1.37%"
"Jan 08, 2019","5.046","5.159","5.159","5.046","-2.19%"
"Jan 07, 2019","5.159","5.167","5.167","5.159","-0.15%"
"Jan 04, 2019","5.167","5.167","5.167","5.167","0.00%"
"Jan 03, 2019","5.167","5.170","5.170","5.167","-0.08%"
"Jan 02, 2019","5.171","5.166","5.171","5.166","0.10%"
"Jan 01, 2019","5.166","5.166","5.166","5.166","0.00%"
"Dec 31, 2018","5.166","5.166","5.166","5.166","0.00%"
"Dec 28, 2018","5.166","5.160","5.166","5.160","0.12%"
"Dec 27, 2018","5.160","5.167","5.167","5.160","-0.14%"
"Dec 26, 2018","5.167","5.171","5.171","5.167","-0.10%"
"Dec 25, 2018","5.172","5.172","5.172","5.172","0.00%"
"Dec 24, 2018","5.172","5.177","5.177","5.172","-0.10%"
"Dec 21, 2018","5.177","5.196","5.196","5.177","-0.37%"
"Dec 20, 2018","5.196","5.199","5.199","5.196","-0.06%"
"Dec 19, 2018","5.199","5.199","5.199","5.199","0.00%"
"Dec 18, 2018","5.199","5.199","5.199","5.199","0.00%"
"Dec 17, 2018","5.199","5.199","5.199","5.199","0.00%"
"Dec 14, 2018","5.199","5.192","5.199","5.192","0.12%"
"Dec 13, 2018","5.193","5.200","5.200","5.193","-0.13%"
"Dec 12, 2018","5.200","5.193","5.200","5.193","0.13%"
"Dec 11, 2018","5.193","5.193","5.193","5.193","0.00%"
"Dec 10, 2018","5.193","5.191","5.193","5.191","0.04%"
"Dec 07, 2018","5.191","5.191","5.191","5.191","-0.02%"
"Dec 06, 2018","5.192","5.214","5.214","5.192","-0.42%"
"Dec 05, 2018","5.214","5.195","5.214","5.195","0.37%"
"Dec 04, 2018","5.195","5.202","5.202","5.195","0.56%"
"Dec 03, 2018","5.166","5.166","5.166","5.166","0.00%"
"Nov 30, 2018","5.166","5.160","5.166","5.160","0.10%"
"Nov 29, 2018","5.161","5.163","5.163","5.161","-0.06%"
"Nov 28, 2018","5.164","5.162","5.164","5.162","0.04%"
"Nov 27, 2018","5.162","5.167","5.167","5.162","-0.10%"
"Nov 26, 2018","5.167","5.191","5.191","5.167","-0.46%"
"Nov 23, 2018","5.191","5.174","5.191","5.174","0.29%"
"Nov 22, 2018","5.176","5.176","5.176","5.176","0.00%"
"Nov 21, 2018","5.176","5.162","5.176","5.162","0.27%"
"Nov 20, 2018","5.162","5.197","5.197","5.162","-0.69%"
"Nov 19, 2018","5.198","5.155","5.198","5.155","0.83%"
"Nov 16, 2018","5.155","5.189","5.189","5.155","-0.67%"
"Nov 15, 2018","5.190","5.206","5.206","5.190","-0.31%"
"Nov 14, 2018","5.206","5.189","5.206","5.085","0.33%"
"Nov 13, 2018","5.189","5.176","5.189","5.176","0.25%"
"Nov 12, 2018","5.176","5.176","5.176","5.176","0.00%"
"Nov 09, 2018","5.176","5.170","5.176","5.170","0.10%"
"Nov 08, 2018","5.171","5.171","5.171","5.171","-0.06%"
"Nov 07, 2018","5.174","5.177","5.177","5.174","-0.06%"
"Nov 06, 2018","5.177","5.171","5.177","5.171","0.12%"
"Nov 05, 2018","5.171","5.178","5.178","5.171","-0.14%"
"Nov 02, 2018","5.178","5.181","5.181","5.178","-0.08%"
"Nov 01, 2018","5.182","5.182","5.182","5.182","-0.02%"
"Oct 31, 2018","5.183","5.183","5.183","5.183","0.00%"
"Oct 30, 2018","5.183","5.165","5.183","5.165","0.35%"
"Oct 29, 2018","5.165","5.158","5.165","5.158","0.14%"
"Oct 26, 2018","5.158","5.150","5.158","5.150","0.14%"
"Oct 25, 2018","5.151","5.130","5.151","5.130","0.41%"
"Oct 24, 2018","5.130","5.097","5.130","5.097","0.65%"
"Oct 23, 2018","5.097","5.094","5.097","5.094","0.06%"
"Oct 22, 2018","5.094","5.094","5.094","5.094","0.00%"
"Oct 19, 2018","5.094","5.094","5.094","5.094","0.00%"
"Oct 18, 2018","5.094","5.066","5.094","5.066","0.55%"
"Oct 17, 2018","5.066","5.066","5.066","5.066","-0.02%"
"Oct 16, 2018","5.067","5.067","5.067","5.067","0.00%"
"Oct 15, 2018","5.067","5.073","5.073","5.067","-0.12%"
"Oct 12, 2018","5.073","5.073","5.073","5.073","-0.04%"
"Oct 11, 2018","5.075","5.075","5.075","5.075","0.00%"
"Oct 10, 2018","5.075","5.031","5.075","5.031","0.85%"
"Oct 09, 2018","5.032","5.026","5.032","5.026","0.12%"
"Oct 08, 2018","5.026","5.026","5.026","5.026","-0.22%"
"Oct 05, 2018","5.037","5.037","5.037","5.037","0.18%"
"Oct 04, 2018","5.028","5.028","5.028","5.028","-0.20%"
"Oct 03, 2018","5.038","5.038","5.038","5.038","0.20%"
"Oct 02, 2018","5.028","5.028","5.028","5.028","0.00%"
"Oct 01, 2018","5.028","5.028","5.028","5.028","0.00%"
"Sep 28, 2018","5.028","5.028","5.028","5.028","-0.02%"
"Sep 27, 2018","5.029","5.029","5.029","5.029","0.00%"
"Sep 26, 2018","5.029","5.029","5.029","5.029","-0.02%"
"Sep 25, 2018","5.030","5.030","5.030","5.030","1.39%"
"Sep 24, 2018","4.961","4.961","4.961","4.961","-2.78%"
"Sep 21, 2018","5.103","5.103","5.103","5.103","0.08%"
"Sep 20, 2018","5.099","5.099","5.099","5.099","-0.02%"
"Sep 19, 2018","5.100","5.100","5.100","5.100","-0.08%"
"Sep 18, 2018","5.104","5.104","5.104","5.104","1.21%"
"Sep 17, 2018","5.043","5.043","5.043","5.043","-0.47%"
"Sep 14, 2018","5.067","5.067","5.067","5.067","-1.25%"
"Sep 13, 2018","5.131","5.131","5.131","5.131","-0.54%"
"Sep 12, 2018","5.159","5.159","5.159","5.159","-0.69%"
"Sep 11, 2018","5.195","5.195","5.195","5.195","-0.13%"
"Sep 10, 2018","5.202","5.202","5.202","5.202","-0.31%"
"Sep 07, 2018","5.218","5.218","5.218","5.218","0.10%"
"Sep 06, 2018","5.213","5.213","5.213","5.213","0.64%"
"Sep 05, 2018","5.180","5.180","5.180","5.180","-0.42%"
"Sep 04, 2018","5.202","5.202","5.202","5.202","0.58%"
"Sep 03, 2018","5.172","5.172","5.172","5.172","0.00%"
"Aug 31, 2018","5.172","5.172","5.172","5.172","-0.31%"
"Aug 30, 2018","5.188","5.188","5.188","5.188","0.06%"
"Aug 29, 2018","5.185","5.185","5.185","5.185","0.12%"
"Aug 28, 2018","5.179","5.179","5.179","5.179","0.19%"
"Aug 27, 2018","5.169","5.169","5.169","5.169","0.12%"
"Aug 24, 2018","5.163","5.163","5.163","5.163","-0.23%"
"Aug 23, 2018","5.175","5.175","5.175","5.175","1.47%"
"Aug 22, 2018","5.100","5.100","5.100","5.100","0.00%"
"Aug 21, 2018","5.100","5.100","5.100","5.100","0.08%"
"Aug 20, 2018","5.096","5.096","5.096","5.096","0.35%"
"Aug 17, 2018","5.078","5.078","5.078","5.078","1.48%"
"Aug 16, 2018","5.004","5.004","5.004","5.004","-0.14%"
"Aug 15, 2018","5.011","5.011","5.011","5.011","-0.22%"
"Aug 14, 2018","5.022","5.022","5.022","5.022","0.64%"
"Aug 13, 2018","4.990","4.990","4.990","4.990","0.42%"
"Aug 10, 2018","4.969","4.969","4.969","4.969","-1.27%"
"Aug 09, 2018","5.033","5.033","5.033","5.033","0.00%"
