Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,105.453139,..,..,..,..,..,..,..,..,..,..,..,..,..,281.7717179,314.4561989,320.9564807,366.9857237,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,380.2842076,383.825578,398.0576518,416.7248063,449.2543184,493.8731397,520.2658554,556.1083914,551.0608501,531.0234895,582.6752404,444.8023859,523.3250988,534.1186323,525.1459388,562.6296399,691.9551238,554.1492706,579.4806003,593.6417812,636.138304,660.9912274,747.8691761,740.169863,778.1687546,..,..,..,..,..
Bosnia and Herzegovina,1572.245337,1445.676088,1050.833602,908.6830711,364.5505527,390.224207,463.6118398,721.1848279,896.7565059,885.2635898,1158.63132,1118.389716,1172.064754,1169.273449,1277.606308,1338.521633,1407.555962,1409.616704,1587.934915,1664.232651,1749.123189,1951.710038,1854.11343,1821.824335,2246.919678,..,..,..,..,..
Botswana,946.7941086,935.5330003,1048.664739,1025.0788,985.4706117,985.1297396,938.4068903,961.7780807,1061.296185,1072.532206,1092.485764,1084.602533,1082.372134,1060.371956,1024.381955,1037.420834,1050.64415,1062.92273,1101.246634,1007.294607,1083.912023,1026.729159,1150.639038,1203.324936,1300.63669,..,..,..,..,..
Brazil,940.9658676,942.0380133,935.7464745,943.3270433,976.9821835,994.2898062,1030.668035,1066.18699,1075.1991,1083.403978,1072.379538,1076.275474,1090.349867,1094.42467,1141.491098,1156.907568,1184.145102,1238.411641,1294.480833,1240.177285,1358.502416,1367.188098,1413.733357,1461.076781,1495.541207,..,..,..,..,..
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,6674.711369,7335.265392,7666.050852,7175.617099,6479.08476,7562.770519,7425.412478,7488.520891,7289.03567,7271.033997,7157.132352,6492.724257,6221.159114,7090.248038,6389.813957,6074.568491,8511.574205,8606.765965,9337.042494,7925.914156,8337.49479,9837.44742,9599.377426,7522.255274,8673.088984,..,..,..,..,..
Bulgaria,3237.35265,2536.644005,2396.007266,2590.011252,2519.859145,2746.667734,2745.710003,2504.12268,2425.946246,2230.660301,2277.367967,2421.145361,2410.969355,2490.416673,2440.69816,2597.896167,2691.460438,2666.111445,2648.867056,2351.655053,2416.703907,2617.127869,2513.352381,2329.122801,2477.655401,..,..,..,..,..
Burkina Faso,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
